run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.strategy_mdd,metrics.avg_run_length_days,metrics.mean_return_regime_0,metrics.mean_return_regime_1,metrics.sharpe_regime_0,metrics.sharpe_regime_1,metrics.n_transitions,metrics.mean_return_regime_2,metrics.log_likelihood,metrics.benchmark_mdd,metrics.strategy_avg_drawdown,metrics.mean_return_regime_3,metrics.sharpe_regime_3,metrics.bic,metrics.benchmark_avg_drawdown,metrics.sharpe_regime_2,params.covariance_type,params.model_type,params.bull_regime_label,params.trans_regime_label,params.crisis_regime_label,params.n_components,tags.mlflow.runName,tags.mlflow.source.type,tags.mlflow.user,tags.mlflow.source.name
ee19f17410a548a2ba8658ef63c290bb,3,FINISHED,file:C:/Users/shure/TaroBall/Gtech/ISYE-7406-OAN/Project/mlruns/3/ee19f17410a548a2ba8658ef63c290bb/artifacts,2026-04-02 03:49:56.287000+00:00,2026-04-02 03:49:59.756000+00:00,-0.30382235425473647,4.257575757575758,0.001617,-0.012776,4.943,-23.274,330.0,0.006762,-28347333.069583595,-0.34180657365807543,-0.09701829525424452,0.001477,0.765,41272.545201775756,-0.0731405693348443,12.825,diag,HMM_n4_diag_iter300_seed808,2,0,3,4,HMM_n4_diag_iter300_seed808,NOTEBOOK,shure,regime_modeling.ipynb
fdbd81e795c64092976eb7637395c164,3,FINISHED,file:C:/Users/shure/TaroBall/Gtech/ISYE-7406-OAN/Project/mlruns/3/fdbd81e795c64092976eb7637395c164/artifacts,2026-04-02 03:49:52.859000+00:00,2026-04-02 03:49:56.169000+00:00,-0.30382235425473647,4.257575757575758,0.006757,0.001604,12.844,4.901,330.0,0.001477,-28347331.92620504,-0.34180657365807543,-0.09701829525424452,-0.012776,-23.274,41272.543574190626,-0.0731405693348443,0.765,diag,HMM_n4_diag_iter300_seed69,0,1,2,4,HMM_n4_diag_iter300_seed69,NOTEBOOK,shure,regime_modeling.ipynb
ac450cac20ca4c6cb9822ba36d4df67d,3,FINISHED,file:C:/Users/shure/TaroBall/Gtech/ISYE-7406-OAN/Project/mlruns/3/ac450cac20ca4c6cb9822ba36d4df67d/artifacts,2026-04-02 03:49:49.293000+00:00,2026-04-02 03:49:52.729000+00:00,-0.30382235425473647,4.34984520123839,0.00161,0.001477,4.863,0.765,323.0,0.006684,-28345651.732193552,-0.34180657365807543,-0.09701829525424452,-0.012785,-23.246,41270.151838942955,-0.0731405693348443,12.74,diag,HMM_n4_diag_iter300_seed1337,2,0,1,4,HMM_n4_diag_iter300_seed1337,NOTEBOOK,shure,regime_modeling.ipynb
abc8ca3269d14e3cbc05f1d1dbc868b4,3,FINISHED,file:C:/Users/shure/TaroBall/Gtech/ISYE-7406-OAN/Project/mlruns/3/abc8ca3269d14e3cbc05f1d1dbc868b4/artifacts,2026-04-02 03:49:45.721000+00:00,2026-04-02 03:49:49.168000+00:00,-0.30382235425473647,4.34984520123839,0.00161,0.006684,4.863,12.74,323.0,-0.012785,-28345654.14169213,-0.34180657365807543,-0.09701829525424452,0.001477,0.765,41270.15526883417,-0.0731405693348443,-23.246,diag,HMM_n4_diag_iter300_seed123,1,0,3,4,HMM_n4_diag_iter300_seed123,NOTEBOOK,shure,regime_modeling.ipynb
c5647950d6a045f58b572e99128c2284,3,FINISHED,file:C:/Users/shure/TaroBall/Gtech/ISYE-7406-OAN/Project/mlruns/3/c5647950d6a045f58b572e99128c2284/artifacts,2026-04-02 03:49:42.154000+00:00,2026-04-02 03:49:45.613000+00:00,-0.2706151385413933,9.756944444444445,0.001567,0.003292,4.591,7.81,144.0,0.000323,-28170084.887665454,-0.34180657365807543,-0.07090307719792074,-0.002904,-3.192,41020.23462253285,-0.0731405693348443,0.176,diag,HMM_n4_diag_iter300_seed420,1,0,2,4,HMM_n4_diag_iter300_seed420,NOTEBOOK,shure,regime_modeling.ipynb
9ab2593e63424001aeefbf1719696ba5,3,FINISHED,file:C:/Users/shure/TaroBall/Gtech/ISYE-7406-OAN/Project/mlruns/3/9ab2593e63424001aeefbf1719696ba5/artifacts,2026-04-02 03:49:38.548000+00:00,2026-04-02 03:49:41.988000+00:00,-0.30382235425473647,4.257575757575758,0.001617,-0.012776,4.943,-23.274,330.0,0.006762,-28347333.069583476,-0.34180657365807543,-0.09701829525424452,0.001477,0.765,41272.54520177559,-0.0731405693348443,12.825,diag,HMM_n4_diag_iter200_seed808,2,0,3,4,HMM_n4_diag_iter200_seed808,NOTEBOOK,shure,regime_modeling.ipynb
a1bf9fe82db843eaa234f625d8e9a9d4,3,FINISHED,file:C:/Users/shure/TaroBall/Gtech/ISYE-7406-OAN/Project/mlruns/3/a1bf9fe82db843eaa234f625d8e9a9d4/artifacts,2026-04-02 03:49:34.991000+00:00,2026-04-02 03:49:38.424000+00:00,-0.30382235425473647,4.257575757575758,0.006757,0.001604,12.844,4.901,330.0,0.001477,-28347331.92620524,-0.34180657365807543,-0.09701829525424452,-0.012776,-23.274,41272.54357419091,-0.0731405693348443,0.765,diag,HMM_n4_diag_iter200_seed69,0,1,2,4,HMM_n4_diag_iter200_seed69,NOTEBOOK,shure,regime_modeling.ipynb
d4289d9f12a64f239411758395b37181,3,FINISHED,file:C:/Users/shure/TaroBall/Gtech/ISYE-7406-OAN/Project/mlruns/3/d4289d9f12a64f239411758395b37181/artifacts,2026-04-02 03:49:31.351000+00:00,2026-04-02 03:49:34.870000+00:00,-0.30382235425473647,4.34984520123839,0.00161,0.001477,4.863,0.765,323.0,0.006684,-28345651.732193552,-0.34180657365807543,-0.09701829525424452,-0.012785,-23.246,41270.151838942955,-0.0731405693348443,12.74,diag,HMM_n4_diag_iter200_seed1337,2,0,1,4,HMM_n4_diag_iter200_seed1337,NOTEBOOK,shure,regime_modeling.ipynb
b8031b1ee79b426282ff9671d0ae0c9b,3,FINISHED,file:C:/Users/shure/TaroBall/Gtech/ISYE-7406-OAN/Project/mlruns/3/b8031b1ee79b426282ff9671d0ae0c9b/artifacts,2026-04-02 03:49:27.797000+00:00,2026-04-02 03:49:31.230000+00:00,-0.30382235425473647,4.34984520123839,0.00161,0.006684,4.863,12.74,323.0,-0.012785,-28345654.14169213,-0.34180657365807543,-0.09701829525424452,0.001477,0.765,41270.15526883417,-0.0731405693348443,-23.246,diag,HMM_n4_diag_iter200_seed123,1,0,3,4,HMM_n4_diag_iter200_seed123,NOTEBOOK,shure,regime_modeling.ipynb
8c52fae6a96a4f3086c667b842cd40fa,3,FINISHED,file:C:/Users/shure/TaroBall/Gtech/ISYE-7406-OAN/Project/mlruns/3/8c52fae6a96a4f3086c667b842cd40fa/artifacts,2026-04-02 03:49:24.087000+00:00,2026-04-02 03:49:27.681000+00:00,-0.2706151385413933,9.756944444444445,0.001567,0.003292,4.591,7.81,144.0,0.000323,-28170084.887665454,-0.34180657365807543,-0.07090307719792074,-0.002904,-3.192,41020.23462253285,-0.0731405693348443,0.176,diag,HMM_n4_diag_iter200_seed420,1,0,2,4,HMM_n4_diag_iter200_seed420,NOTEBOOK,shure,regime_modeling.ipynb
73bc4f39c9334353aa6be9bd72469121,3,FINISHED,file:C:/Users/shure/TaroBall/Gtech/ISYE-7406-OAN/Project/mlruns/3/73bc4f39c9334353aa6be9bd72469121/artifacts,2026-04-02 03:49:20.588000+00:00,2026-04-02 03:49:23.934000+00:00,-0.30382235425473647,4.257575757575758,0.001617,-0.012776,4.943,-23.274,330.0,0.006762,-28347333.069583718,-0.34180657365807543,-0.09701829525424452,0.001477,0.765,41272.54520177593,-0.0731405693348443,12.825,diag,HMM_n4_diag_iter100_seed808,2,0,3,4,HMM_n4_diag_iter100_seed808,NOTEBOOK,shure,regime_modeling.ipynb
2b9d2fb260814b308b1b1a10170ad86b,3,FINISHED,file:C:/Users/shure/TaroBall/Gtech/ISYE-7406-OAN/Project/mlruns/3/2b9d2fb260814b308b1b1a10170ad86b/artifacts,2026-04-02 03:49:17.122000+00:00,2026-04-02 03:49:20.480000+00:00,-0.30382235425473647,4.257575757575758,0.006757,0.001604,12.844,4.901,330.0,0.001477,-28347331.92620553,-0.34180657365807543,-0.09701829525424452,-0.012776,-23.274,41272.543574191324,-0.0731405693348443,0.765,diag,HMM_n4_diag_iter100_seed69,0,1,2,4,HMM_n4_diag_iter100_seed69,NOTEBOOK,shure,regime_modeling.ipynb
